D4:68:4D:3E:81:88	-72
D4:68:4D:3E:81:88	-72
D4:68:4D:3E:81:88	-72
D4:68:4D:3E:81:88	-72
D4:68:4D:3E:81:88	-73
D4:68:4D:3E:81:88	-73
D4:68:4D:3E:81:88	-74
D4:68:4D:3E:81:88	-90
D4:68:4D:3E:81:8C	-80
D4:68:4D:3E:81:8C	-82
D4:68:4D:3E:81:8C	-83
D4:68:4D:3E:81:8C	-83
D4:68:4D:3E:81:8C	-83
D4:68:4D:3E:81:8C	-83
D4:68:4D:3E:81:8C	-83
D4:68:4D:3E:81:8C	-83
D4:68:4D:3E:81:8C	-83
D4:68:4D:3E:81:8C	-83
D4:68:4D:3E:81:8C	-83
D4:68:4D:3E:81:98	-61
D4:68:4D:3E:81:98	-63
D4:68:4D:3E:81:98	-63
D4:68:4D:3E:81:98	-63
D4:68:4D:3E:81:98	-64
D4:68:4D:3E:81:98	-64
D4:68:4D:3E:81:98	-65
D4:68:4D:3E:81:98	-65
D4:68:4D:3E:81:98	-65
D4:68:4D:3E:81:98	-65
D4:68:4D:3E:81:98	-66
D4:68:4D:3E:81:9C	-71
D4:68:4D:3E:81:9C	-72
D4:68:4D:3E:81:9C	-73
D4:68:4D:3E:81:9C	-73
D4:68:4D:3E:81:9C	-73
D4:68:4D:3E:81:9C	-73
D4:68:4D:3E:81:9C	-73
D4:68:4D:3E:81:9C	-73
D4:68:4D:3E:81:9C	-73
D4:68:4D:3E:81:9C	-74
D4:68:4D:3E:81:9C	-74
D4:68:4D:3E:81:A8	-67
D4:68:4D:3E:81:A8	-68
D4:68:4D:3E:81:A8	-68
D4:68:4D:3E:81:A8	-68
D4:68:4D:3E:81:A8	-69
D4:68:4D:3E:81:A8	-69
D4:68:4D:3E:81:A8	-69
D4:68:4D:3E:81:A8	-69
D4:68:4D:3E:81:A8	-70
D4:68:4D:3E:81:A8	-70
D4:68:4D:3E:81:A8	-70
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:81:AC	-88
D4:68:4D:3E:81:AC	-88
D4:68:4D:3E:81:AC	-88
D4:68:4D:3E:81:AC	-88
D4:68:4D:3E:81:AC	-88
D4:68:4D:3E:81:AC	-88
D4:68:4D:3E:81:AC	-88
D4:68:4D:3E:82:98	-57
D4:68:4D:3E:82:98	-57
D4:68:4D:3E:82:98	-58
D4:68:4D:3E:82:98	-59
D4:68:4D:3E:82:98	-59
D4:68:4D:3E:82:98	-60
D4:68:4D:3E:82:98	-60
D4:68:4D:3E:82:98	-61
D4:68:4D:3E:82:98	-61
D4:68:4D:3E:82:98	-61
D4:68:4D:3E:82:98	-84
D4:68:4D:3E:82:9C	-67
D4:68:4D:3E:82:9C	-67
D4:68:4D:3E:82:9C	-68
D4:68:4D:3E:82:9C	-68
D4:68:4D:3E:82:9C	-68
D4:68:4D:3E:82:9C	-68
D4:68:4D:3E:82:9C	-68
D4:68:4D:3E:82:9C	-68
D4:68:4D:3E:82:9C	-68
D4:68:4D:3E:82:9C	-68
D4:68:4D:3E:82:9C	-69
D4:68:4D:3E:87:F8	-66
D4:68:4D:3E:87:F8	-67
D4:68:4D:3E:87:F8	-67
D4:68:4D:3E:87:F8	-67
D4:68:4D:3E:87:F8	-67
D4:68:4D:3E:87:F8	-67
D4:68:4D:3E:87:F8	-67
D4:68:4D:3E:87:F8	-68
D4:68:4D:3E:87:F8	-69
D4:68:4D:3E:87:F8	-69
D4:68:4D:3E:87:F8	-70
D4:68:4D:3E:87:FC	-71
D4:68:4D:3E:87:FC	-72
D4:68:4D:3E:87:FC	-72
D4:68:4D:3E:87:FC	-72
D4:68:4D:3E:87:FC	-72
D4:68:4D:3E:87:FC	-72
D4:68:4D:3E:87:FC	-73
D4:68:4D:3E:87:FC	-73
D4:68:4D:3E:87:FC	-73
D4:68:4D:3E:87:FC	-73
D4:68:4D:3E:87:FC	-76
D4:68:4D:3E:89:58	-110
D4:68:4D:3E:89:58	-110
D4:68:4D:3E:89:58	-110
D4:68:4D:3E:89:58	-110
D4:68:4D:3E:89:58	-110
D4:68:4D:3E:89:58	-110
D4:68:4D:3E:89:58	-110
D4:68:4D:3E:89:58	-110
D4:68:4D:3E:89:58	-110
D4:68:4D:3E:89:58	-110
D4:68:4D:3E:89:58	-110
D4:68:4D:3E:8A:68	-61
D4:68:4D:3E:8A:68	-61
D4:68:4D:3E:8A:68	-62
D4:68:4D:3E:8A:68	-62
D4:68:4D:3E:8A:68	-62
D4:68:4D:3E:8A:68	-62
D4:68:4D:3E:8A:68	-63
D4:68:4D:3E:8A:68	-63
D4:68:4D:3E:8A:68	-63
D4:68:4D:3E:8A:68	-63
D4:68:4D:3E:8A:68	-63
D4:68:4D:3E:8A:6C	-79
D4:68:4D:3E:8A:6C	-79
D4:68:4D:3E:8A:6C	-79
D4:68:4D:3E:8A:6C	-79
D4:68:4D:3E:8A:6C	-79
D4:68:4D:3E:8A:6C	-79
D4:68:4D:3E:8A:6C	-79
D4:68:4D:3E:8A:6C	-80
D4:68:4D:3E:8A:6C	-80
D4:68:4D:3E:8A:6C	-80
D4:68:4D:3E:8A:6C	-80
D4:68:4D:3E:8C:88	-59
D4:68:4D:3E:8C:88	-59
D4:68:4D:3E:8C:88	-59
D4:68:4D:3E:8C:88	-59
D4:68:4D:3E:8C:88	-59
D4:68:4D:3E:8C:88	-60
D4:68:4D:3E:8C:88	-60
D4:68:4D:3E:8C:88	-60
D4:68:4D:3E:8C:88	-60
D4:68:4D:3E:8C:88	-60
D4:68:4D:3E:8C:88	-60
D4:68:4D:3E:8C:8C	-73
D4:68:4D:3E:8C:8C	-74
D4:68:4D:3E:8C:8C	-75
D4:68:4D:3E:8C:8C	-75
D4:68:4D:3E:8C:8C	-75
D4:68:4D:3E:8C:8C	-75
D4:68:4D:3E:8C:8C	-75
D4:68:4D:3E:8C:8C	-75
D4:68:4D:3E:8C:8C	-75
D4:68:4D:3E:8C:8C	-76
D4:68:4D:3E:8C:8C	-78
D4:68:4D:3E:8E:88	-84
D4:68:4D:3E:8E:88	-85
D4:68:4D:3E:8E:88	-85
D4:68:4D:3E:8E:88	-86
D4:68:4D:3E:8E:88	-86
D4:68:4D:3E:8E:88	-86
D4:68:4D:3E:8E:88	-86
D4:68:4D:3E:8E:88	-86
D4:68:4D:3E:8E:88	-86
D4:68:4D:3E:8E:88	-86
D4:68:4D:3E:8E:88	-86
D4:68:4D:3E:91:D8	-46
D4:68:4D:3E:91:D8	-46
D4:68:4D:3E:91:D8	-46
D4:68:4D:3E:91:D8	-46
D4:68:4D:3E:91:D8	-47
D4:68:4D:3E:91:D8	-47
D4:68:4D:3E:91:D8	-47
D4:68:4D:3E:91:D8	-47
D4:68:4D:3E:91:D8	-47
D4:68:4D:3E:91:D8	-57
D4:68:4D:3E:91:D8	-66
D4:68:4D:3E:91:DC	-58
D4:68:4D:3E:91:DC	-58
D4:68:4D:3E:91:DC	-58
D4:68:4D:3E:91:DC	-58
D4:68:4D:3E:91:DC	-58
D4:68:4D:3E:91:DC	-58
D4:68:4D:3E:91:DC	-59
D4:68:4D:3E:91:DC	-59
D4:68:4D:3E:91:DC	-59
D4:68:4D:3E:91:DC	-59
D4:68:4D:3E:91:DC	-61
D4:68:4D:3E:A3:08	-58
D4:68:4D:3E:A3:08	-58
D4:68:4D:3E:A3:08	-58
D4:68:4D:3E:A3:08	-59
D4:68:4D:3E:A3:08	-59
D4:68:4D:3E:A3:08	-59
D4:68:4D:3E:A3:08	-59
D4:68:4D:3E:A3:08	-59
D4:68:4D:3E:A3:08	-59
D4:68:4D:3E:A3:08	-59
D4:68:4D:3E:A3:08	-60
D4:68:4D:3E:A3:0C	-78
D4:68:4D:3E:A3:0C	-78
D4:68:4D:3E:A3:0C	-78
D4:68:4D:3E:A3:0C	-78
D4:68:4D:3E:A3:0C	-78
D4:68:4D:3E:A3:0C	-78
D4:68:4D:3E:A3:0C	-79
D4:68:4D:3E:A3:0C	-79
D4:68:4D:3E:A3:0C	-79
D4:68:4D:3E:A3:0C	-79
D4:68:4D:3E:A3:0C	-79
D4:68:4D:3E:A3:C8	-86
D4:68:4D:3E:A3:C8	-86
D4:68:4D:3E:A3:C8	-86
D4:68:4D:3E:A3:C8	-86
D4:68:4D:3E:A3:C8	-86
D4:68:4D:3E:A3:C8	-110
D4:68:4D:3E:A3:C8	-110
D4:68:4D:3E:A3:C8	-110
D4:68:4D:3E:A3:C8	-110
D4:68:4D:3E:A3:C8	-110
D4:68:4D:3E:A3:C8	-110
D4:68:4D:3E:A4:28	-51
D4:68:4D:3E:A4:28	-51
D4:68:4D:3E:A4:28	-52
D4:68:4D:3E:A4:28	-52
D4:68:4D:3E:A4:28	-53
D4:68:4D:3E:A4:28	-53
D4:68:4D:3E:A4:28	-53
D4:68:4D:3E:A4:28	-53
D4:68:4D:3E:A4:28	-53
D4:68:4D:3E:A4:28	-54
D4:68:4D:3E:A4:28	-54
D4:68:4D:3E:A4:2C	-63
D4:68:4D:3E:A4:2C	-63
D4:68:4D:3E:A4:2C	-63
D4:68:4D:3E:A4:2C	-63
D4:68:4D:3E:A4:2C	-63
D4:68:4D:3E:A4:2C	-63
D4:68:4D:3E:A4:2C	-63
D4:68:4D:3E:A4:2C	-63
D4:68:4D:3E:A4:2C	-63
D4:68:4D:3E:A4:2C	-63
D4:68:4D:3E:A4:2C	-63
D4:68:4D:3E:A6:38	-86
D4:68:4D:3E:A6:38	-86
D4:68:4D:3E:A6:38	-86
D4:68:4D:3E:A6:38	-86
D4:68:4D:3E:A6:38	-110
D4:68:4D:3E:A6:38	-110
D4:68:4D:3E:A6:38	-110
D4:68:4D:3E:A6:38	-110
D4:68:4D:3E:A6:38	-110
D4:68:4D:3E:A6:38	-110
D4:68:4D:3E:A6:88	-70
D4:68:4D:3E:A6:88	-72
D4:68:4D:3E:A6:88	-72
D4:68:4D:3E:A6:88	-72
D4:68:4D:3E:A6:88	-72
D4:68:4D:3E:A6:88	-72
D4:68:4D:3E:A6:88	-72
D4:68:4D:3E:A6:88	-72
D4:68:4D:3E:A6:88	-74
D4:68:4D:3E:A6:88	-74
D4:68:4D:3E:A6:88	-74
D4:68:4D:3E:A6:8C	-72
D4:68:4D:3E:A6:8C	-73
D4:68:4D:3E:A6:8C	-73
D4:68:4D:3E:A6:8C	-73
D4:68:4D:3E:A6:8C	-74
D4:68:4D:3E:A6:8C	-74
D4:68:4D:3E:A6:8C	-74
D4:68:4D:3E:A6:8C	-74
D4:68:4D:3E:A6:8C	-74
D4:68:4D:3E:A6:8C	-74
D4:68:4D:3E:A6:8C	-74
D4:68:4D:3E:A7:B8	-88
D4:68:4D:3E:A7:B8	-88
D4:68:4D:3E:A7:B8	-88
D4:68:4D:3E:A7:B8	-88
D4:68:4D:3E:A7:B8	-88
D4:68:4D:3E:A7:B8	-88
D4:68:4D:3E:A7:B8	-110
D4:68:4D:3E:A7:B8	-110
D4:68:4D:3E:82:9C	-70
D4:68:4D:3E:82:98	-55
D4:68:4D:3E:8C:88	-61
D4:68:4D:3E:8A:68	-63
D4:68:4D:3E:A3:C8	-110
D4:68:4D:3E:58:E8	-78
D4:68:4D:3E:81:88	-73
D4:68:4D:3E:A4:28	-49
2C:E6:CC:1A:CB:D8	-110
D4:68:4D:3E:91:D8	-43
D4:68:4D:3E:A7:B8	-90
D4:68:4D:3E:59:38	-110
D4:68:4D:3E:54:98	-64
DA:32:E3:B9:FF:04	-47
D4:68:4D:3E:A6:88	-70
D4:68:4D:3E:19:78	-77
D4:68:4D:3E:77:38	-89
D4:68:4D:3E:A3:08	-76
D4:68:4D:3E:81:A8	-70
D4:68:4D:3E:89:58	-110
D4:C1:9E:3F:1A:98	-110
D4:68:4D:3E:87:F8	-68
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:81:98	-63
D4:68:4D:3E:A6:8C	-73
D4:68:4D:3E:8A:6C	-74
D4:68:4D:3E:81:AC	-86
D4:68:4D:3E:77:3C	-110
D4:68:4D:3E:59:3C	-110
D4:68:4D:3E:A3:0C	-77
D4:68:4D:3E:A4:2C	-63
D4:68:4D:3E:19:7C	-83
D4:68:4D:3E:81:9C	-73
D4:68:4D:3E:87:FC	-74
D4:68:4D:3E:8C:8C	-72
D4:68:4D:3E:81:8C	-84
00:22:6B:47:B8:32	-110
D4:68:4D:3E:8B:48	-110
D4:68:4D:3E:54:DC	-110
94:F6:65:1D:EC:D8	-110
6C:AA:B3:72:31:C8	-110
6C:AA:B3:32:31:C8	-110
D4:68:4D:3E:54:9C	-75
58:93:96:08:4A:18	-110
D4:68:4D:3E:8E:88	-110
D4:C1:9E:7F:1A:58	-110
44:1C:A8:0F:72:9E	-82
D4:68:4D:3E:81:C8	-110
6C:AA:B3:32:24:68	-110
6C:AA:B3:72:24:68	-110
D4:68:4D:3E:97:F8	-110
42:49:0F:9A:96:50	-88
D4:68:4D:3E:A6:38	-89
00:1E:4A:8F:F5:D0	-110
D4:68:4D:3E:54:88	-110
00:1E:4A:90:00:20	-73
10:07:B6:CD:D5:A7	-110
00:1E:4A:8F:FE:30	-88
D4:68:4D:3E:8E:38	-110
00:1E:4A:90:04:30	-110
D4:68:4D:3E:58:EC	-84
D4:68:4D:3E:91:DC	-64
D4:68:4D:3E:8E:8C	-110
D4:68:4D:3E:A6:3C	-110
00:EC:0A:39:AC:6F	-110
00:1E:4A:90:01:70	-110
D4:68:4D:3E:A5:08	-110
D4:C1:9E:BF:1A:57	-110
D4:C1:9E:BF:1A:97	-110
D4:C1:9E:3F:1A:9C	-110
00:1E:4A:90:00:60	-110
58:93:96:08:4A:1C	-110
D4:68:4D:3E:78:A8	-110
D4:68:4D:3E:57:78	-110
D4:68:4D:3E:82:9C	-70
D4:68:4D:3E:82:98	-54
D4:68:4D:3E:8C:88	-62
D4:68:4D:3E:8A:68	-63
D4:68:4D:3E:A3:C8	-110
D4:68:4D:3E:58:E8	-78
D4:68:4D:3E:81:88	-74
D4:68:4D:3E:A4:28	-52
2C:E6:CC:1A:CB:D8	-72
D4:68:4D:3E:91:D8	-43
D4:68:4D:3E:A7:B8	-88
D4:68:4D:3E:59:38	-80
D4:68:4D:3E:54:98	-61
DA:32:E3:B9:FF:04	-52
D4:68:4D:3E:A6:88	-70
D4:68:4D:3E:19:78	-77
D4:68:4D:3E:77:38	-88
D4:68:4D:3E:A3:08	-61
D4:68:4D:3E:81:A8	-68
D4:68:4D:3E:89:58	-110
D4:C1:9E:3F:1A:98	-77
D4:68:4D:3E:87:F8	-67
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:81:98	-62
D4:68:4D:3E:A6:8C	-74
D4:68:4D:3E:8A:6C	-74
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:77:3C	-110
D4:68:4D:3E:59:3C	-110
D4:68:4D:3E:A3:0C	-77
D4:68:4D:3E:A4:2C	-64
D4:68:4D:3E:19:7C	-85
D4:68:4D:3E:81:9C	-75
D4:68:4D:3E:87:FC	-75
D4:68:4D:3E:8C:8C	-73
D4:68:4D:3E:81:8C	-84
00:22:6B:47:B8:32	-110
D4:68:4D:3E:8B:48	-110
D4:68:4D:3E:54:DC	-81
94:F6:65:1D:EC:D8	-110
6C:AA:B3:72:31:C8	-110
6C:AA:B3:32:31:C8	-110
D4:68:4D:3E:54:9C	-75
58:93:96:08:4A:18	-110
D4:68:4D:3E:8E:88	-85
D4:C1:9E:7F:1A:58	-110
44:1C:A8:0F:72:9E	-82
D4:68:4D:3E:81:C8	-110
6C:AA:B3:32:24:68	-110
6C:AA:B3:72:24:68	-110
D4:68:4D:3E:97:F8	-110
42:49:0F:9A:96:50	-88
D4:68:4D:3E:A6:38	-89
00:1E:4A:8F:F5:D0	-110
D4:68:4D:3E:54:88	-110
00:1E:4A:90:00:20	-73
10:07:B6:CD:D5:A7	-110
00:1E:4A:8F:FE:30	-88
D4:68:4D:3E:8E:38	-110
00:1E:4A:90:04:30	-110
D4:68:4D:3E:58:EC	-84
D4:68:4D:3E:91:DC	-62
D4:68:4D:3E:8E:8C	-110
D4:68:4D:3E:A6:3C	-110
00:EC:0A:39:AC:6F	-110
00:1E:4A:90:01:70	-110
D4:68:4D:3E:A5:08	-110
D4:C1:9E:BF:1A:57	-110
D4:C1:9E:BF:1A:97	-85
D4:C1:9E:3F:1A:9C	-110
00:1E:4A:90:00:60	-110
58:93:96:08:4A:1C	-110
D4:68:4D:3E:78:A8	-110
D4:68:4D:3E:57:78	-110
D4:68:4D:3E:82:9C	-70
D4:68:4D:3E:82:98	-55
D4:68:4D:3E:8C:88	-61
D4:68:4D:3E:8A:68	-61
D4:68:4D:3E:A3:C8	-110
D4:68:4D:3E:58:E8	-78
D4:68:4D:3E:81:88	-74
D4:68:4D:3E:A4:28	-52
2C:E6:CC:1A:CB:D8	-72
D4:68:4D:3E:91:D8	-43
D4:68:4D:3E:A7:B8	-88
D4:68:4D:3E:59:38	-81
D4:68:4D:3E:54:98	-62
DA:32:E3:B9:FF:04	-46
D4:68:4D:3E:A6:88	-71
D4:68:4D:3E:19:78	-78
D4:68:4D:3E:77:38	-88
D4:68:4D:3E:A3:08	-61
D4:68:4D:3E:81:A8	-70
D4:68:4D:3E:89:58	-110
D4:C1:9E:3F:1A:98	-77
D4:68:4D:3E:87:F8	-67
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:81:98	-64
D4:68:4D:3E:A6:8C	-73
D4:68:4D:3E:8A:6C	-74
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:77:3C	-110
D4:68:4D:3E:59:3C	-110
D4:68:4D:3E:A3:0C	-78
D4:68:4D:3E:A4:2C	-64
D4:68:4D:3E:19:7C	-84
D4:68:4D:3E:81:9C	-76
D4:68:4D:3E:87:FC	-75
D4:68:4D:3E:8C:8C	-73
D4:68:4D:3E:81:8C	-83
00:22:6B:47:B8:32	-110
D4:68:4D:3E:8B:48	-110
D4:68:4D:3E:54:DC	-81
94:F6:65:1D:EC:D8	-110
6C:AA:B3:72:31:C8	-110
6C:AA:B3:32:31:C8	-110
D4:68:4D:3E:54:9C	-75
58:93:96:08:4A:18	-110
D4:68:4D:3E:8E:88	-86
D4:C1:9E:7F:1A:58	-110
44:1C:A8:0F:72:9E	-84
D4:68:4D:3E:81:C8	-110
6C:AA:B3:32:24:68	-110
6C:AA:B3:72:24:68	-110
D4:68:4D:3E:97:F8	-110
42:49:0F:9A:96:50	-88
D4:68:4D:3E:A6:38	-89
00:1E:4A:8F:F5:D0	-110
D4:68:4D:3E:54:88	-110
00:1E:4A:90:00:20	-71
10:07:B6:CD:D5:A7	-110
00:1E:4A:8F:FE:30	-87
D4:68:4D:3E:8E:38	-110
00:1E:4A:90:04:30	-110
D4:68:4D:3E:58:EC	-83
D4:68:4D:3E:91:DC	-62
D4:68:4D:3E:8E:8C	-110
D4:68:4D:3E:A6:3C	-110
00:EC:0A:39:AC:6F	-110
00:1E:4A:90:01:70	-110
D4:68:4D:3E:A5:08	-110
D4:C1:9E:BF:1A:57	-110
D4:C1:9E:BF:1A:97	-85
D4:C1:9E:3F:1A:9C	-110
00:1E:4A:90:00:60	-110
58:93:96:08:4A:1C	-110
D4:68:4D:3E:78:A8	-110
D4:68:4D:3E:57:78	-110
D4:68:4D:3E:82:9C	-66
D4:68:4D:3E:82:98	-54
D4:68:4D:3E:8C:88	-63
D4:68:4D:3E:8A:68	-62
D4:68:4D:3E:A3:C8	-110
D4:68:4D:3E:58:E8	-79
D4:68:4D:3E:81:88	-74
D4:68:4D:3E:A4:28	-51
2C:E6:CC:1A:CB:D8	-72
D4:68:4D:3E:91:D8	-42
D4:68:4D:3E:A7:B8	-88
D4:68:4D:3E:59:38	-80
D4:68:4D:3E:54:98	-63
DA:32:E3:B9:FF:04	-44
D4:68:4D:3E:A6:88	-85
D4:68:4D:3E:19:78	-75
D4:68:4D:3E:77:38	-88
D4:68:4D:3E:A3:08	-61
D4:68:4D:3E:81:A8	-70
D4:68:4D:3E:89:58	-110
D4:C1:9E:3F:1A:98	-77
D4:68:4D:3E:87:F8	-68
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:81:98	-63
D4:68:4D:3E:A6:8C	-73
D4:68:4D:3E:8A:6C	-74
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:77:3C	-110
D4:68:4D:3E:59:3C	-110
D4:68:4D:3E:A3:0C	-77
D4:68:4D:3E:A4:2C	-64
D4:68:4D:3E:19:7C	-84
D4:68:4D:3E:81:9C	-75
D4:68:4D:3E:87:FC	-74
D4:68:4D:3E:8C:8C	-73
D4:68:4D:3E:81:8C	-84
00:22:6B:47:B8:32	-110
D4:68:4D:3E:8B:48	-110
D4:68:4D:3E:54:DC	-80
94:F6:65:1D:EC:D8	-110
6C:AA:B3:72:31:C8	-110
6C:AA:B3:32:31:C8	-110
D4:68:4D:3E:54:9C	-75
58:93:96:08:4A:18	-81
D4:68:4D:3E:8E:88	-85
D4:C1:9E:7F:1A:58	-110
44:1C:A8:0F:72:9E	-83
D4:68:4D:3E:81:C8	-110
6C:AA:B3:32:24:68	-110
6C:AA:B3:72:24:68	-110
D4:68:4D:3E:97:F8	-110
42:49:0F:9A:96:50	-87
D4:68:4D:3E:A6:38	-89
00:1E:4A:8F:F5:D0	-110
D4:68:4D:3E:54:88	-110
00:1E:4A:90:00:20	-71
10:07:B6:CD:D5:A7	-110
00:1E:4A:8F:FE:30	-88
D4:68:4D:3E:8E:38	-110
00:1E:4A:90:04:30	-110
D4:68:4D:3E:58:EC	-83
D4:68:4D:3E:91:DC	-62
D4:68:4D:3E:8E:8C	-110
D4:68:4D:3E:A6:3C	-110
00:EC:0A:39:AC:6F	-110
00:1E:4A:90:01:70	-110
D4:68:4D:3E:A5:08	-110
D4:C1:9E:BF:1A:57	-110
D4:C1:9E:BF:1A:97	-85
D4:C1:9E:3F:1A:9C	-110
00:1E:4A:90:00:60	-110
58:93:96:08:4A:1C	-110
D4:68:4D:3E:78:A8	-110
D4:68:4D:3E:57:78	-110
D4:68:4D:3E:82:9C	-67
D4:68:4D:3E:82:98	-55
D4:68:4D:3E:8C:88	-63
D4:68:4D:3E:8A:68	-61
D4:68:4D:3E:A3:C8	-110
D4:68:4D:3E:58:E8	-79
D4:68:4D:3E:81:88	-74
D4:68:4D:3E:A4:28	-50
2C:E6:CC:1A:CB:D8	-72
D4:68:4D:3E:91:D8	-43
D4:68:4D:3E:A7:B8	-88
D4:68:4D:3E:59:38	-80
D4:68:4D:3E:54:98	-63
DA:32:E3:B9:FF:04	-46
D4:68:4D:3E:A6:88	-71
D4:68:4D:3E:19:78	-76
D4:68:4D:3E:77:38	-91
D4:68:4D:3E:A3:08	-60
D4:68:4D:3E:81:A8	-70
D4:68:4D:3E:89:58	-110
D4:C1:9E:3F:1A:98	-76
D4:68:4D:3E:87:F8	-69
D4:68:4D:3E:54:D8	-81
D4:68:4D:3E:81:98	-63
D4:68:4D:3E:A6:8C	-73
D4:68:4D:3E:8A:6C	-74
D4:68:4D:3E:81:AC	-86
D4:68:4D:3E:77:3C	-110
D4:68:4D:3E:59:3C	-110
D4:68:4D:3E:A3:0C	-78
D4:68:4D:3E:A4:2C	-64
D4:68:4D:3E:19:7C	-84
D4:68:4D:3E:81:9C	-76
D4:68:4D:3E:87:FC	-73
D4:68:4D:3E:8C:8C	-72
D4:68:4D:3E:81:8C	-84
00:22:6B:47:B8:32	-110
D4:68:4D:3E:8B:48	-110
D4:68:4D:3E:54:DC	-80
94:F6:65:1D:EC:D8	-110
6C:AA:B3:72:31:C8	-110
6C:AA:B3:32:31:C8	-110
D4:68:4D:3E:54:9C	-74
58:93:96:08:4A:18	-81
D4:68:4D:3E:8E:88	-85
D4:C1:9E:7F:1A:58	-110
44:1C:A8:0F:72:9E	-83
D4:68:4D:3E:81:C8	-110
6C:AA:B3:32:24:68	-110
6C:AA:B3:72:24:68	-110
D4:68:4D:3E:97:F8	-110
42:49:0F:9A:96:50	-88
D4:68:4D:3E:A6:38	-91
00:1E:4A:8F:F5:D0	-110
D4:68:4D:3E:54:88	-110
00:1E:4A:90:00:20	-71
10:07:B6:CD:D5:A7	-110
00:1E:4A:8F:FE:30	-88
D4:68:4D:3E:8E:38	-110
00:1E:4A:90:04:30	-110
D4:68:4D:3E:58:EC	-84
D4:68:4D:3E:91:DC	-62
D4:68:4D:3E:8E:8C	-110
D4:68:4D:3E:A6:3C	-110
00:EC:0A:39:AC:6F	-110
00:1E:4A:90:01:70	-110
D4:68:4D:3E:A5:08	-110
D4:C1:9E:BF:1A:57	-110
D4:C1:9E:BF:1A:97	-85
D4:C1:9E:3F:1A:9C	-110
00:1E:4A:90:00:60	-110
58:93:96:08:4A:1C	-110
D4:68:4D:3E:78:A8	-110
D4:68:4D:3E:57:78	-110
D4:68:4D:3E:82:9C	-72
D4:68:4D:3E:82:98	-55
D4:68:4D:3E:8C:88	-61
D4:68:4D:3E:8A:68	-62
D4:68:4D:3E:A3:C8	-110
D4:68:4D:3E:58:E8	-79
D4:68:4D:3E:81:88	-69
D4:68:4D:3E:A4:28	-49
2C:E6:CC:1A:CB:D8	-72
D4:68:4D:3E:91:D8	-43
D4:68:4D:3E:A7:B8	-89
D4:68:4D:3E:59:38	-80
D4:68:4D:3E:54:98	-63
DA:32:E3:B9:FF:04	-46
D4:68:4D:3E:A6:88	-70
D4:68:4D:3E:19:78	-77
D4:68:4D:3E:77:38	-89
D4:68:4D:3E:A3:08	-61
D4:68:4D:3E:81:A8	-70
D4:68:4D:3E:89:58	-110
D4:C1:9E:3F:1A:98	-77
D4:68:4D:3E:87:F8	-68
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:81:98	-64
D4:68:4D:3E:A6:8C	-74
D4:68:4D:3E:8A:6C	-75
D4:68:4D:3E:81:AC	-87
D4:68:4D:3E:77:3C	-110
D4:68:4D:3E:59:3C	-110
D4:68:4D:3E:A3:0C	-77
D4:68:4D:3E:A4:2C	-64
D4:68:4D:3E:19:7C	-85
D4:68:4D:3E:81:9C	-71
D4:68:4D:3E:87:FC	-73
D4:68:4D:3E:8C:8C	-73
D4:68:4D:3E:81:8C	-84
00:22:6B:47:B8:32	-110
D4:68:4D:3E:8B:48	-110
D4:68:4D:3E:54:DC	-81
94:F6:65:1D:EC:D8	-110
6C:AA:B3:72:31:C8	-110
6C:AA:B3:32:31:C8	-110
D4:68:4D:3E:54:9C	-75
58:93:96:08:4A:18	-73
D4:68:4D:3E:8E:88	-86
D4:C1:9E:7F:1A:58	-110
44:1C:A8:0F:72:9E	-83
D4:68:4D:3E:81:C8	-110
6C:AA:B3:32:24:68	-110
6C:AA:B3:72:24:68	-110
D4:68:4D:3E:97:F8	-110
42:49:0F:9A:96:50	-88
D4:68:4D:3E:A6:38	-91
00:1E:4A:8F:F5:D0	-110
D4:68:4D:3E:54:88	-110
00:1E:4A:90:00:20	-71
10:07:B6:CD:D5:A7	-110
00:1E:4A:8F:FE:30	-87
D4:68:4D:3E:8E:38	-110
00:1E:4A:90:04:30	-110
D4:68:4D:3E:58:EC	-84
D4:68:4D:3E:91:DC	-62
D4:68:4D:3E:8E:8C	-110
D4:68:4D:3E:A6:3C	-110
00:EC:0A:39:AC:6F	-110
00:1E:4A:90:01:70	-110
D4:68:4D:3E:A5:08	-110
D4:C1:9E:BF:1A:57	-110
D4:C1:9E:BF:1A:97	-85
D4:C1:9E:3F:1A:9C	-110
00:1E:4A:90:00:60	-110
58:93:96:08:4A:1C	-110
D4:68:4D:3E:78:A8	-110
D4:68:4D:3E:57:78	-110
D4:68:4D:3E:82:9C	-67
D4:68:4D:3E:82:98	-53
D4:68:4D:3E:8C:88	-64
D4:68:4D:3E:8A:68	-61
